"Exe","Case","Click","ClickDescription","ClickMode","ClientClickX","ClientClickY","ScreenClickX","ScreenClickY","ClientWidth","ClientHeight","RenderScale","RenderX","RenderY","CaptureWidth","CaptureHeight","Before","After","BeforeHash","AfterHash","ChangedPercent","ExitedAfterClick","ExitCode","Passed","Error"
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_hddisplay_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_hddisplay_absinput-native-exit\after.png","3FB6117400D025197AC6606ECADE3629DE7982CA85BA2762CEA6EA7D5F64099A","B396907F6F822030D4EE8890D9E727867441F7EAE8DC74D11BEECCCF42F7BCA8","8.404","False",,"True",
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_hddisplay_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_hddisplay_absinput-centered-exit\after.png","8236455EA64A5C7926A42897356A40337ECFE9F89708CC63CFA955D5CD0F9E3C","5D3F8EF3AAE7E399D66EE540BC2E5D75C3D0213BB38095412D30D70BA7739FED","8.224","False",,"True",
"C:\Clash\clash95_hddisplay_centered_absinput.exe","clash95_hddisplay_centered_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_hddisplay_centered_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_hddisplay_centered_absinput-native-exit\after.png","BF3BA134B788040F13279E0CA77CDC34403AA66FF8D2ED3AF49255CD83FC5BD5","5D3F8EF3AAE7E399D66EE540BC2E5D75C3D0213BB38095412D30D70BA7739FED","8.484","False",,"True",
"C:\Clash\clash95_hddisplay_centered_absinput.exe","clash95_hddisplay_centered_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_hddisplay_centered_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_hddisplay_centered_absinput-centered-exit\after.png","8236455EA64A5C7926A42897356A40337ECFE9F89708CC63CFA955D5CD0F9E3C","5D3F8EF3AAE7E399D66EE540BC2E5D75C3D0213BB38095412D30D70BA7739FED","8.224","False",,"True",
"C:\Clash\clash95_isolate_inputbounds_absinput.exe","clash95_isolate_inputbounds_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_inputbounds_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_inputbounds_absinput-native-exit\after.png","8236455EA64A5C7926A42897356A40337ECFE9F89708CC63CFA955D5CD0F9E3C","A248DD5E100A43DEDADDFD2BCDB88ABE47BFB37748789D4CBBA22A1298B30738","8.142","False",,"True",
"C:\Clash\clash95_isolate_inputbounds_absinput.exe","clash95_isolate_inputbounds_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_inputbounds_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_inputbounds_absinput-centered-exit\after.png","3FB6117400D025197AC6606ECADE3629DE7982CA85BA2762CEA6EA7D5F64099A","9984E44420E0EF3109955005E32BE5651C550BE8B66A46C248F9EEDD1BDFEAFD","8.45","False",,"True",
"C:\Clash\clash95_isolate_viewportcall_absinput.exe","clash95_isolate_viewportcall_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_viewportcall_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_viewportcall_absinput-native-exit\after.png","8236455EA64A5C7926A42897356A40337ECFE9F89708CC63CFA955D5CD0F9E3C","5D3F8EF3AAE7E399D66EE540BC2E5D75C3D0213BB38095412D30D70BA7739FED","8.224","False",,"True",
"C:\Clash\clash95_isolate_viewportcall_absinput.exe","clash95_isolate_viewportcall_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_viewportcall_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_viewportcall_absinput-centered-exit\after.png","59F753C21E498492E6B5143015F93E70E2A21FAB6EA0A3414BBAA5E57E9135B6","6B4ABCAE750BD0D93BAA18B57D107A44ADCDB66A7BCF6062D9496E80C1B827A9","8.295","False",,"True",
"C:\Clash\clash95_isolate_loops_absinput.exe","clash95_isolate_loops_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_loops_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_loops_absinput-native-exit\after.png","BF3BA134B788040F13279E0CA77CDC34403AA66FF8D2ED3AF49255CD83FC5BD5","B396907F6F822030D4EE8890D9E727867441F7EAE8DC74D11BEECCCF42F7BCA8","8.425","False",,"True",
"C:\Clash\clash95_isolate_loops_absinput.exe","clash95_isolate_loops_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_loops_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-122310\clash95_isolate_loops_absinput-centered-exit\after.png","8236455EA64A5C7926A42897356A40337ECFE9F89708CC63CFA955D5CD0F9E3C","9984E44420E0EF3109955005E32BE5651C550BE8B66A46C248F9EEDD1BDFEAFD","8.151","False",,"True",
