"Exe","Case","Click","ClickDescription","ClickMode","ClientClickX","ClientClickY","ScreenClickX","ScreenClickY","ClientWidth","ClientHeight","RenderScale","RenderX","RenderY","CaptureWidth","CaptureHeight","Before","After","BeforeHash","AfterHash","ChangedPercent","ExitedAfterClick","ExitCode","Passed","Error"
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-124415\clash95_hddisplay_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-124415\clash95_hddisplay_absinput-native-exit\after.png","1903C8E5F4C9C6657DA3084C827D11F0B1BC68FC438AF0C9F9049FB42C783184","1903C8E5F4C9C6657DA3084C827D11F0B1BC68FC438AF0C9F9049FB42C783184","0","False",,"False",
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","1681","1036","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-124415\clash95_hddisplay_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-124415\clash95_hddisplay_absinput-centered-exit\after.png","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","0","False",,"False",
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-shifted-exit","shifted-exit","observed shifted Exit button center in current 800x600 menu","SendInput","430","335","2011","1186","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-124415\clash95_hddisplay_absinput-shifted-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-124415\clash95_hddisplay_absinput-shifted-exit\after.png","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","0","False",,"False",
