"Exe","Case","Click","ClickDescription","ClickMode","ClientClickX","ClientClickY","ScreenClickX","ScreenClickY","ClientWidth","ClientHeight","RenderScale","RenderX","RenderY","CaptureWidth","CaptureHeight","Before","After","BeforeHash","AfterHash","ChangedPercent","ExitedAfterClick","ExitCode","Passed","Error"
"C:\Clash\clash95_hd_harnesscheck_20260422.exe","clash95_hd_harnesscheck_20260422-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","403","391","800","600","1","83","106","800","600","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-163904\clash95_hd_harnesscheck_20260422-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-163904\clash95_hd_harnesscheck_20260422-centered-exit\after.png","EEA7195E93C05867F44059963E97CAC3AE9C42A1B4062291DC1D36BB398F90BC","58E897E52DAD331155EF9371B92E40BB868179715C6C2EC42FE93FBD5E7F5D2B","15.68","False",,"True",
"C:\Clash\clash95_hd_harnesscheck_20260422.exe","clash95_hd_harnesscheck_20260422-shifted-exit","shifted-exit","observed shifted Exit button center in current 800x600 menu","SendInput","430","335","513","441","800","600","1","83","106","800","600","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-163904\clash95_hd_harnesscheck_20260422-shifted-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-163904\clash95_hd_harnesscheck_20260422-shifted-exit\after.png","EBC26488AF81A03936656C4B28FEBD1F1DBBF2AB40089CE48A7FF76C8E433E14","EBC26488AF81A03936656C4B28FEBD1F1DBBF2AB40089CE48A7FF76C8E433E14","0","False",,"False",
"C:\Clash\clash95_hd_harnesscheck_20260422.exe","clash95_hd_harnesscheck_20260422-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","323","331","800","600","1","83","106","800","600","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-163904\clash95_hd_harnesscheck_20260422-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-163904\clash95_hd_harnesscheck_20260422-native-exit\after.png","EBC26488AF81A03936656C4B28FEBD1F1DBBF2AB40089CE48A7FF76C8E433E14","EBC26488AF81A03936656C4B28FEBD1F1DBBF2AB40089CE48A7FF76C8E433E14","0","False",,"False",
