"Exe","Case","Click","ClickDescription","ClickMode","ClientClickX","ClientClickY","ScreenClickX","ScreenClickY","ClientWidth","ClientHeight","RenderScale","RenderX","RenderY","CaptureWidth","CaptureHeight","Before","After","BeforeHash","AfterHash","ChangedPercent","ExitedAfterClick","ExitCode","Passed","Error"
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225",,,,,,,,,,,,,,,"False",,"False","Exception calling "".ctor"" with ""2"" argument(s): ""Parameter is not valid."""
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285",,,,,,,,,,,,,,,"False",,"False","Exception calling "".ctor"" with ""2"" argument(s): ""Parameter is not valid."""
