"Exe","Case","Click","ClickDescription","ClickMode","ClientClickX","ClientClickY","ScreenClickX","ScreenClickY","ClientWidth","ClientHeight","RenderScale","RenderX","RenderY","CaptureWidth","CaptureHeight","Before","After","BeforeHash","AfterHash","ChangedPercent","ExitedAfterClick","ExitCode","Passed","Error"
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_hddisplay_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_hddisplay_absinput-native-exit\after.png","9633AFF1857C269B4DD1588A7B6B9453D22AB71C68FFAC37FBFCA4A8F0AC21D1","9633AFF1857C269B4DD1588A7B6B9453D22AB71C68FFAC37FBFCA4A8F0AC21D1","0","False",,"False",
"C:\Clash\clash95_hddisplay_centered_absinput.exe","clash95_hddisplay_centered_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_hddisplay_centered_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_hddisplay_centered_absinput-native-exit\after.png","F67F1FBF42EE5BBCDCEA670E706B7BE1C55C222F472C52F197A2556B6FC9BD62","F67F1FBF42EE5BBCDCEA670E706B7BE1C55C222F472C52F197A2556B6FC9BD62","0","False",,"False",
"C:\Clash\clash95_isolate_inputbounds_absinput.exe","clash95_isolate_inputbounds_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_isolate_inputbounds_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_isolate_inputbounds_absinput-native-exit\after.png","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","0","False",,"False",
"C:\Clash\clash95_isolate_viewportcall_absinput.exe","clash95_isolate_viewportcall_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_isolate_viewportcall_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_isolate_viewportcall_absinput-native-exit\after.png","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","0","False",,"False",
"C:\Clash\clash95_isolate_loops_absinput.exe","clash95_isolate_loops_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_isolate_loops_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_isolate_loops_absinput-native-exit\after.png","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","0","False",,"False",
"C:\Clash\clash95_isolate_surface_absinput.exe","clash95_isolate_surface_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_isolate_surface_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_isolate_surface_absinput-native-exit\after.png","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","0","False",,"False",
"C:\Clash\clash95_hdmenu_absinput.exe","clash95_hdmenu_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_hdmenu_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_hdmenu_absinput-native-exit\after.png","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","98B26D27F77322764DC25434CD9B45C6746DDB4A30470E390E3314259D266C7F","0","False",,"False",
"C:\Clash\clash95_hdcentered_visual_absinput.exe","clash95_hdcentered_visual_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","1441","856","3840","2160","3","720","180","2400","1800","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_hdcentered_visual_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-125357\clash95_hdcentered_visual_absinput-native-exit\after.png","F67F1FBF42EE5BBCDCEA670E706B7BE1C55C222F472C52F197A2556B6FC9BD62","F67F1FBF42EE5BBCDCEA670E706B7BE1C55C222F472C52F197A2556B6FC9BD62","0","False",,"False",
