"Exe","Case","Click","ClickDescription","ClickMode","ClientClickX","ClientClickY","ScreenClickX","ScreenClickY","ClientWidth","ClientHeight","Before","After","BeforeHash","AfterHash","ChangedPercent","ExitedAfterClick","ExitCode","Passed","Error"
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-native-exit","native-exit","old 640x480 Exit button center","SendInput","240","225","240","225","3840","2160","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121202\clash95_hddisplay_absinput-native-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121202\clash95_hddisplay_absinput-native-exit\after.png","DFDFFBFE3C5BCBA95DEEE3BF7C6E169039B090EDA1D58753190C097DEE64C6E6","1370C3D1D767061769CDE8044486C5A58816F13559657EF637A44CCFC93F0528","61.165","True","-1","False",
"C:\Clash\clash95_hddisplay_absinput.exe","clash95_hddisplay_absinput-centered-exit","centered-exit","native Exit plus 80,60 center offset","SendInput","320","285","320","285","3840","2160","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121202\clash95_hddisplay_absinput-centered-exit\before.png","C:\Users\andrz\OneDrive\Pulpit\git\clash-hd\captures\clicktest-20260422-121202\clash95_hddisplay_absinput-centered-exit\after.png","F5A02DC0A40B61B36F04802E1799F8FB303F55DC3BE0F6A0FCC1709F1B2889FD","3AC987E76126E6C279D8F9029ED43BFD32DEF29A151B611BA974172CBB0ACCA5","9.562","True","-1","False",
