entry,name,calling_convention,parameter_count,body_address_count
0040d850,Locale_DrawInteger,unknown,0,62
0040d890,FUN_0040d890,unknown,0,745
0040db80,Map_DestroyTile,unknown,0,136
0040dc10,FUN_0040dc10,unknown,0,283
0040dd30,FUN_0040dd30,unknown,0,37
0040dd60,FUN_0040dd60,unknown,0,126
0040ded0,FUN_0040ded0,unknown,0,277
0040dff0,FUN_0040dff0,unknown,0,2231
0040e8b0,FUN_0040e8b0,unknown,0,1087
0040ecf0,FUN_0040ecf0,unknown,0,39
0040ed20,FUN_0040ed20,unknown,0,10
0040ed30,FUN_0040ed30,unknown,0,24
0040ed50,FUN_0040ed50,unknown,0,24
0040ed70,FUN_0040ed70,unknown,0,111
0040ede0,FUN_0040ede0,unknown,0,629
0040f060,FUN_0040f060,unknown,0,95
0040f0c0,FUN_0040f0c0,unknown,0,762
0040f3c0,FUN_0040f3c0,unknown,0,119
0040f440,FUN_0040f440,unknown,0,134
0040f4d0,FUN_0040f4d0,unknown,0,60
0040f510,Unit_Create,unknown,0,440
0040f6b0,Render_DrawSprite_v2,unknown,0,14
0040f6e0,FUN_0040f6e0,unknown,0,68
0040f730,Unit_Kill,unknown,0,137
0040f7c0,FUN_0040f7c0,unknown,0,51
0040f800,Rules_UnlinkArmyFact,unknown,0,139
0040f890,Rules_LinkArmyFinalize,unknown,0,19
0040f8b0,FUN_0040f8b0,unknown,0,73
0040f900,FUN_0040f900,unknown,0,225
0040f9f0,FUN_0040f9f0,unknown,0,43
0040fa20,FUN_0040fa20,unknown,0,38
0040fa50,FUN_0040fa50,unknown,0,38
0040fa80,FUN_0040fa80,unknown,0,80
0040fad0,FUN_0040fad0,unknown,0,214
0040fdb0,FUN_0040fdb0,unknown,0,112
0040fe60,FUN_0040fe60,unknown,0,18
0040fe80,FUN_0040fe80,unknown,0,61
0040fec0,FUN_0040fec0,unknown,0,46
0040fef0,FUN_0040fef0,unknown,0,280
00410010,FUN_00410010,unknown,0,50
004100b0,FUN_004100b0,unknown,0,72
00410100,FUN_00410100,unknown,0,48
00410130,FUN_00410130,unknown,0,57
00410170,FUN_00410170,unknown,0,37
004101a0,FUN_004101a0,unknown,0,60
004101e0,FUN_004101e0,unknown,0,55
00410260,FUN_00410260,unknown,0,204
00410330,FUN_00410330,unknown,0,3565
00411120,Unit_CalcEffectivenessA,unknown,0,83
00411180,UI_IconIndexFromStats,unknown,0,51
004111c0,Unit_CalcEffectivenessB,unknown,0,118
00411240,Unit_CalcIndexB,unknown,0,51
00411280,Unit_CalcEffectivenessC,unknown,0,59
004112c0,Unit_GetBaseC,unknown,0,37
004112f0,Unit_CalcEffectivenessD,unknown,0,83
00411350,Unit_DebugDumpFormationSizes,unknown,0,197
00411420,Render_DrawSprite_v3,unknown,0,51
00411460,LogAllUnits,unknown,0,68
004114b0,Unit_CompactSquad,unknown,0,175
00411560,FUN_00411560,unknown,0,115
004115e0,FUN_004115e0,unknown,0,551
00411810,FUN_00411810,unknown,0,137
004118e0,Unit_NewTurn,unknown,0,464
00411ab0,FUN_00411ab0,unknown,0,83
00411b30,FUN_00411b30,unknown,0,48
00411b60,Render_DrawSprite_v4,unknown,0,126
00411cb0,FUN_00411cb0,unknown,0,183
00411d70,FUN_00411d70,unknown,0,166
00411e20,Unit_GetClassIndex,unknown,0,60
00411e60,Unit_AttemptNeighborMove,unknown,0,250
00411f60,FUN_00411f60,unknown,0,151
00412000,FUN_00412000,unknown,0,175
004120b0,FUN_004120b0,unknown,0,67
00412100,FUN_00412100,unknown,0,104
00412170,FUN_00412170,unknown,0,40
004121a0,FUN_004121a0,unknown,0,40
004121d0,FUN_004121d0,unknown,0,289
00412300,FUN_00412300,unknown,0,531
00412520,FUN_00412520,unknown,0,540
00412790,W?Unlock$_CSyncObject$n_lpnl_i,unknown,0,6
004127a0,FUN_004127a0,unknown,0,79
004127f0,FUN_004127f0,unknown,0,133
00412880,FUN_00412880,unknown,0,83
004128e0,FUN_004128e0,unknown,0,143
00412970,Building_UseGarrisonSlot,unknown,0,111
004129e0,FUN_004129e0,unknown,0,68
00412a30,FUN_00412a30,unknown,0,38
00412a60,FUN_00412a60,unknown,0,38
00412a90,FUN_00412a90,unknown,0,36
00412ac0,FUN_00412ac0,unknown,0,41
00412af0,FUN_00412af0,unknown,0,43
00412b20,FUN_00412b20,unknown,0,63
00412b60,FUN_00412b60,unknown,0,47
00412b90,FUN_00412b90,unknown,0,76
